PartName,	BatchID,	OperatorName,	Date,	Time,	13,	9,	5,	15,	11,	12,	10,	7,	16,	14,	Height,	Curl Gap,	Lancing Bottom,	4,	X Position,	Y Position,	Result
,	,	,	,	,	3.4000-3.800,	15.3000-15.700,	3.9000-4.100,	2.3000-2.700,	1.6000-2.000,	1.3000-1.700,	3.1000-3.500,	2.5000-2.700,	2.2000-2.600,	2.8000-3.200,	2.7000-2.900,	0.5000-0.900,	1.5000-1.800,	3.1000-3.300,	-10.0000-10.000,	-10.0000-10.000,	
70101001-00,Batch_1_DAUR_STM_1_70101001-00_3637552807,deep,08-Apr-2019,12:50,-0.040,Disabled,0.000,0.082,0.067,-0.048,-0.080,2.421,0.000,-0.085,2.364,Disabled,Disabled,0.000,0.000,0.000,Fail
70101001-00,Batch_1_DAUR_STM_1_70101001-00_3637552807,deep,08-Apr-2019,12:50,-0.040,Disabled,0.000,0.080,0.067,-0.048,-0.080,2.419,0.000,-0.085,5.617,Disabled,Disabled,0.000,0.000,0.000,Fail
70101001-00,Batch_1_DAUR_STM_1_70101001-00_3637552807,deep,08-Apr-2019,12:50,-0.040,Disabled,0.000,0.080,0.067,-0.048,-0.080,2.418,0.000,-0.085,2.419,Disabled,Disabled,0.000,0.000,0.000,Fail
70101001-00,Batch_1_DAUR_STM_1_70101001-00_3637552807,deep,08-Apr-2019,12:50,-0.040,Disabled,0.000,0.080,0.067,-0.048,-0.080,2.418,0.000,-0.085,2.263,Disabled,Disabled,0.000,0.000,0.000,Fail
70101001-00,Batch_1_DAUR_STM_1_70101001-00_3637552807,deep,08-Apr-2019,12:50,-0.040,Disabled,0.000,0.080,0.067,-0.048,-0.080,2.414,0.000,-0.085,2.429,Disabled,Disabled,0.000,0.000,0.000,Fail
70101001-00,Batch_1_DAUR_STM_1_70101001-00_3637552807,deep,08-Apr-2019,12:50,-0.040,Disabled,0.000,0.080,0.067,-0.048,-0.080,2.422,0.000,-0.085,2.509,Disabled,Disabled,0.000,0.000,0.000,Fail
70101001-00,Batch_1_DAUR_STM_1_70101001-00_3637552807,deep,08-Apr-2019,12:50,-0.040,Disabled,0.000,0.080,0.067,-0.048,-0.080,2.415,0.000,-0.085,2.399,Disabled,Disabled,0.000,0.000,0.000,Fail
70101001-00,Batch_1_DAUR_STM_1_70101001-00_3637552807,deep,08-Apr-2019,12:50,-0.040,Disabled,0.000,0.080,0.067,-0.048,-0.080,2.415,0.000,-0.085,2.525,Disabled,Disabled,0.000,0.000,0.000,Fail
70101001-00,Batch_1_DAUR_STM_1_70101001-00_3637552807,deep,08-Apr-2019,12:50,-0.040,Disabled,0.000,0.080,0.067,-0.048,-0.080,2.417,0.000,-0.085,2.506,Disabled,Disabled,0.000,0.000,0.000,Fail
70101001-00,Batch_1_DAUR_STM_1_70101001-00_3637552807,deep,08-Apr-2019,12:50,-0.040,Disabled,0.000,0.080,0.067,-0.048,-0.080,2.419,0.000,-0.085,2.442,Disabled,Disabled,0.000,0.000,0.000,Fail
70101001-00,Batch_1_DAUR_STM_1_70101001-00_3637552807,deep,08-Apr-2019,12:50,-0.040,Disabled,0.000,0.080,0.067,-0.048,-0.080,2.424,0.000,-0.085,2.477,Disabled,Disabled,0.000,0.000,0.000,Fail
70101001-00,Batch_1_DAUR_STM_1_70101001-00_3637552807,deep,08-Apr-2019,12:50,-0.040,Disabled,0.000,0.080,0.067,-0.048,-0.080,2.315,0.000,-0.085,2.513,Disabled,Disabled,0.000,0.000,0.000,Fail
70101001-00,Batch_1_DAUR_STM_1_70101001-00_3637552807,deep,08-Apr-2019,12:50,-0.040,Disabled,0.000,0.080,0.067,-0.048,-0.080,2.418,0.000,-0.085,2.478,Disabled,Disabled,0.000,0.000,0.000,Fail
70101001-00,Batch_1_DAUR_STM_1_70101001-00_3637552807,deep,08-Apr-2019,12:50,-0.040,Disabled,0.000,0.080,0.067,-0.048,-0.080,2.421,0.000,-0.085,2.447,Disabled,Disabled,0.000,0.000,0.000,Fail
70101001-00,Batch_1_DAUR_STM_1_70101001-00_3637552807,deep,08-Apr-2019,12:50,-0.040,Disabled,0.000,0.080,0.067,-0.048,-0.080,2.426,0.000,-0.085,5.660,Disabled,Disabled,0.000,0.000,0.000,Fail
70101001-00,Batch_1_DAUR_STM_1_70101001-00_3637552807,deep,08-Apr-2019,12:50,-0.040,Disabled,0.000,0.080,0.067,-0.048,-0.080,2.427,0.000,-0.085,5.621,Disabled,Disabled,0.000,0.000,0.000,Fail
70101001-00,Batch_1_DAUR_STM_1_70101001-00_3637552807,deep,08-Apr-2019,12:50,-0.040,Disabled,0.000,0.080,0.067,-0.048,-0.080,2.430,0.000,-0.085,2.578,Disabled,Disabled,0.000,0.000,0.000,Fail
70101001-00,Batch_1_DAUR_STM_1_70101001-00_3637552807,deep,08-Apr-2019,12:50,-0.040,Disabled,0.000,0.080,0.067,-0.048,-0.080,2.428,0.000,-0.085,2.558,Disabled,Disabled,0.000,0.000,0.000,Fail
70101001-00,Batch_1_DAUR_STM_1_70101001-00_3637552807,deep,08-Apr-2019,12:50,-0.040,Disabled,0.000,0.080,0.067,-0.048,-0.080,2.420,0.000,-0.085,2.339,Disabled,Disabled,0.000,0.000,0.000,Fail
70101001-00,Batch_1_DAUR_STM_1_70101001-00_3637552807,deep,08-Apr-2019,12:52,-0.040,Disabled,0.000,0.080,0.067,-0.048,-0.080,2.279,0.000,-0.085,2.272,Disabled,Disabled,0.000,0.000,0.000,Fail
70101001-00,Batch_1_DAUR_STM_1_70101001-00_3637552807,deep,08-Apr-2019,12:52,-0.040,Disabled,0.000,0.080,0.067,-0.048,-0.080,2.407,0.000,-0.085,2.502,Disabled,Disabled,0.000,0.000,0.000,Fail
70101001-00,Batch_1_DAUR_STM_1_70101001-00_3637552807,deep,08-Apr-2019,12:52,-0.040,Disabled,0.000,0.080,0.067,-0.048,-0.080,2.407,0.000,-0.085,5.575,Disabled,Disabled,0.000,0.000,0.000,Fail
70101001-00,Batch_1_DAUR_STM_1_70101001-00_3637552807,deep,08-Apr-2019,12:52,-0.040,Disabled,0.000,0.080,0.067,-0.048,-0.080,1.977,0.000,-0.085,2.421,Disabled,Disabled,0.000,0.000,0.000,Fail
